 id  |              name               |         created_at         |         updated_at         | brand_id |                                      screen_logo_url                                       |                                      receipt_logo_url                                      
-----+---------------------------------+----------------------------+----------------------------+----------+--------------------------------------------------------------------------------------------+--------------------------------------------------------------------------------------------
  61 | Residence Inn                   | 1970-01-01 00:00:00        | 1970-01-01 00:00:00        |       11 |                                                                                            | 
  71 | Courtyard by Marriott           | 1970-01-01 00:00:00        | 1970-01-01 00:00:00        |       11 |                                                                                            | 
 111 | La Quinta Inns                  | 2014-09-12 22:01:18        | 2014-09-13 05:38:00        |       31 |                                                                                            | 
 121 | La Quinta Inns and Suites       | 2014-09-12 22:01:18        | 2014-09-13 05:37:46        |       31 |                                                                                            | 
 123 | Red Lion Hotel                  | 2014-11-21 21:20:46.406401 | 2014-11-21 21:20:46.406401 |       33 |                                                                                            | 
 124 | Best Western                    | 2014-12-13 00:14:01.481403 | 2014-12-13 00:14:01.481403 |       34 |                                                                                            | 
 126 | Travelodge                      | 2015-06-29 22:19:17.735612 | 2015-06-29 22:19:17.735612 |       35 |                                                                                            | 
 127 | Staybridge Suites               | 2015-09-21 22:24:28.450069 | 2015-09-21 22:24:28.450069 |       21 |                                                                                            | 
 133 | Intercontinental Hotels Group   | 2015-10-13 22:12:55.778159 | 2015-10-13 22:12:55.778159 |       21 | https://s3-us-west-2.amazonaws.com/impulsepoint/Flag_Logos/intercontinental_logo.png       | https://s3-us-west-2.amazonaws.com/impulsepoint/Flag_Logos/intercontinental_logo.png
 132 | Hotel Indigo                    | 2015-10-13 22:12:29.660733 | 2015-10-13 22:12:29.660733 |       21 |                                                                                            | 
 134 | Independent                     | 2016-06-08 16:32:23.103393 | 2016-06-08 16:32:23.103393 |       38 |                                                                                            | 
 135 | Marriott                        | 2016-09-20 16:59:38.675955 | 2016-09-20 16:59:38.675955 |       11 |                                                                                            | 
 137 | Fairfield Inn & Suites          | 2016-09-20 18:51:24.567663 | 2016-09-20 18:51:24.567663 |       11 |                                                                                            | 
 138 | Regency                         | 2016-09-20 19:29:40.145722 | 2016-09-20 19:29:40.145722 |       40 |                                                                                            | 
 139 | Springhill Suites               | 2016-09-20 21:52:36.945806 | 2016-09-20 21:52:36.945806 |       11 |                                                                                            | 
 140 | Renaissance                     | 2016-09-20 22:37:43.697921 | 2016-09-20 22:37:43.697921 |       11 |                                                                                            | 
 141 | Delta                           | 2016-09-21 20:34:26.020844 | 2016-09-21 20:34:26.020844 |       11 |                                                                                            | 
 142 | TownPlace Suites                | 2016-09-21 21:22:13.893224 | 2016-09-21 21:23:19.156252 |       11 |                                                                                            | 
 143 | Fairfield Inn                   | 2016-09-22 16:37:51.915019 | 2016-09-22 16:37:51.915019 |       11 |                                                                                            | 
 144 | Comfort Suites                  | 2016-09-22 16:50:40.083851 | 2016-09-22 16:50:40.083851 |       37 |                                                                                            | 
 155 | Canopy by Hilton                | 2019-09-27 20:57:09.451472 | 2019-09-27 20:57:09.451472 |        1 |                                                                                            | 
 145 | Sheraton                        | 2017-04-24 18:29:54.76121  | 2017-04-24 18:29:54.76121  |       39 |                                                                                            | 
 156 | Hilton Suites                   | 2019-10-01 17:16:36.051533 | 2019-10-01 17:16:36.051533 |        1 |                                                                                            | 
 146 | Curio by Hilton                 | 2017-07-01 13:46:13.340384 | 2017-07-01 13:46:13.340384 |        1 |                                                                                            | 
 189 | Holiday Inn & Suites            | 2019-11-05 17:56:52.401999 | 2019-11-05 17:56:52.401999 |       21 |                                                                                            | 
 131 | Crowne Plaza Hotels and Resorts | 2015-10-13 22:12:12.944691 | 2017-10-25 07:28:47.173268 |       21 | https://s3-us-west-2.amazonaws.com/impulsepoint/Flag_Logos/crowne_plaza_logo.png           | https://s3-us-west-2.amazonaws.com/impulsepoint/Flag_Logos/crowne_plaza_logo.png
  41 | Doubletree by Hilton            | 2013-12-12 07:01:26        | 2017-10-25 07:28:47.180343 |        1 | https://s3-us-west-2.amazonaws.com/impulsepoint/Flag_Logos/doubletree_logo.png             | https://s3-us-west-2.amazonaws.com/impulsepoint/Flag_Logos/doubletree_logo.png
 125 | Embassy Suites                  | 2015-03-19 15:08:18.658422 | 2017-10-25 07:28:47.18535  |        1 | https://s3-us-west-2.amazonaws.com/impulsepoint/Flag_Logos/embassy_suites_logo.png         | https://s3-us-west-2.amazonaws.com/impulsepoint/Flag_Logos/embassy_suites_logo.png
  31 | Hampton Inn                     | 2013-12-12 07:00:39        | 2017-10-25 07:28:47.189527 |        1 | https://s3-us-west-2.amazonaws.com/impulsepoint/Flag_Logos/hampton_inn_logo.png            | https://s3-us-west-2.amazonaws.com/impulsepoint/Flag_Logos/hampton_inn_logo.png
  21 | Hampton Inn and Suites          | 2013-05-28 18:21:42        | 2017-10-25 07:28:47.193845 |        1 | https://s3-us-west-2.amazonaws.com/impulsepoint/Flag_Logos/hampton_inn_%26_suites_logo.png | https://s3-us-west-2.amazonaws.com/impulsepoint/Flag_Logos/hampton_inn_%26_suites_logo.png
  81 | Hilton                          | 2014-09-12 22:01:18        | 2017-10-25 07:28:47.198036 |        1 |                                                                                            | 
   1 | Hilton Garden Inn               | 2013-05-22 17:59:56        | 2017-10-25 07:28:47.20225  |        1 | https://s3-us-west-2.amazonaws.com/impulsepoint/Flag_Logos/hilton_garden_inn_logo.png      | https://s3-us-west-2.amazonaws.com/impulsepoint/Flag_Logos/hilton_garden_inn_logo.png
  91 | Holiday Inn                     | 2014-09-12 22:01:18        | 2017-10-25 07:28:47.206605 |       21 | https://s3-us-west-2.amazonaws.com/impulsepoint/Flag_Logos/holiday_inn_logo.png            | https://s3-us-west-2.amazonaws.com/impulsepoint/Flag_Logos/holiday_inn_logo.png
 101 | Holiday Inn Express             | 2014-09-12 22:01:18        | 2017-10-25 07:28:47.21754  |       21 | https://s3-us-west-2.amazonaws.com/impulsepoint/Flag_Logos/holiday_inn_express_logo.png    | https://s3-us-west-2.amazonaws.com/impulsepoint/Flag_Logos/holiday_inn_express_logo.png
 128 | Holiday Inn Express & Suites    | 2015-09-21 22:24:51.087323 | 2017-10-25 07:28:47.226174 |       21 | https://s3-us-west-2.amazonaws.com/impulsepoint/Flag_Logos/holiday_inn_%26_suites_logo.png | https://s3-us-west-2.amazonaws.com/impulsepoint/Flag_Logos/holiday_inn_%26_suites_logo.png
  51 | Home2                           | 2014-06-29 17:29:19        | 2017-10-25 07:28:47.230929 |        1 | https://s3-us-west-2.amazonaws.com/impulsepoint/Flag_Logos/home2_logo.png                  | https://s3-us-west-2.amazonaws.com/impulsepoint/Flag_Logos/home2_logo.png
  11 | Homewood Suites                 | 2013-05-28 18:21:20        | 2017-10-25 07:28:47.235595 |        1 | https://s3-us-west-2.amazonaws.com/impulsepoint/Flag_Logos/homewood_suites_logo.png        | https://s3-us-west-2.amazonaws.com/impulsepoint/Flag_Logos/homewood_suites_logo.png
 147 | Tru by Hilton                   | 2017-07-20 16:18:24.245607 | 2017-10-25 07:28:47.242703 |        1 | https://s3-us-west-2.amazonaws.com/impulsepoint/Flag_Logos/tru_logo.png                    | https://s3-us-west-2.amazonaws.com/impulsepoint/Flag_Logos/tru_logo.png
 136 | Westin                          | 2016-09-20 18:17:03.140815 | 2017-10-25 07:28:47.247042 |       39 | https://s3-us-west-2.amazonaws.com/impulsepoint/Flag_Logos/westin_logo.png                 | https://s3-us-west-2.amazonaws.com/impulsepoint/Flag_Logos/westin_logo.png
 148 | Liv Dev                         | 2018-10-17 21:58:44.622826 | 2018-10-17 21:58:44.622826 |       41 |                                                                                            | 
 149 | EVEN Hotels                     | 2019-01-07 22:19:23.710452 | 2019-01-07 22:19:23.710452 |       21 |                                                                                            | 
 150 | Tapestry Collection             | 2019-01-16 22:17:09.621358 | 2019-01-16 22:17:09.621358 |        1 |                                                                                            | 
 151 | Avid                            | 2019-01-17 22:33:10.067402 | 2019-01-17 22:33:10.067402 |       21 |                                                                                            | 
 153 | Quality Suites                  | 2019-03-06 15:25:09.090715 | 2019-03-06 15:25:09.090715 |       37 |                                                                                            | 
 154 | Best Western Plus               | 2019-05-15 20:07:21.250713 | 2019-05-15 20:07:21.250713 |       34 |                                                                                            | 
 190 | Aston                           | 2019-11-06 16:25:24.07619  | 2019-11-06 16:25:24.07619  |       42 |                                                                                            | 
 130 | Candlewood Suites               | 2015-09-21 22:25:21.12046  | 2015-09-21 22:25:21.12046  |       21 | https://s3-us-west-2.amazonaws.com/impulsepoint/Flag_Logos/candlewood_suites_logo.png      | https://s3-us-west-2.amazonaws.com/impulsepoint/Flag_Logos/candlewood_suites_logo.png
 223 | Mercantile                      | 2019-11-21 16:56:13.870385 | 2019-11-21 16:56:13.870385 |       75 |                                                                                            | 
 224 | FUSE                            | 2019-11-21 20:54:20.047196 | 2019-11-21 20:54:20.047196 |       76 |                                                                                            | 
(49 rows)

